FID,County,Sub_County,AEZ_Code,AEZ_Name,AEZSubzone,Major_Crop,AREA,Shape__Area,Shape__Length
43,West Pokot,East Pokot Sub County,IL 6,Inner Lowland,ur i,Ranching Zone,139.122312116,31376.4780273438,727.746257833468
44,West Pokot,East Pokot Sub County,IL 6,Inner Lowland,ur i,Ranching Zone,139.122312116,13917.6091918945,1101.55818879339
45,West Pokot,East Pokot Sub County,IL 6,Inner Lowland,ur i,Ranching Zone,139.122312116,113502.935302734,1403.6853825778
46,West Pokot,East Pokot Sub County,IL 6,Inner Lowland,ur i,Ranching Zone,139.122312116,111976.592773438,1400.85819132947
47,West Pokot,East Pokot Sub County,IL 6,Inner Lowland,ur i,Ranching Zone,139.122312116,98324.5538330078,1194.28305136737
48,West Pokot,East Pokot Sub County,IL 6,Inner Lowland,ur i,Ranching Zone,139.122312116,15136.2713012695,512.141744216769
49,West Pokot,East Pokot Sub County,IL 6,Inner Lowland,ur i,Ranching Zone,139.122312116,1419.07537841797,234.796982583261
50,West Pokot,East Pokot Sub County,IL 6,Inner Lowland,ur i,Ranching Zone,139.122312116,47286.4196777344,1006.90314061986
51,West Pokot,East Pokot Sub County,IL 6,Inner Lowland,ur i,Ranching Zone,139.122312116,105516.772766113,1289.42204584688
52,West Pokot,East Pokot Sub County,IL 6,Inner Lowland,ur i,Ranching Zone,139.122312116,195563.762695313,1925.4441203589
53,West Pokot,East Pokot Sub County,IL 6,Inner Lowland,ur i,Ranching Zone,139.122312116,58507.5854492188,963.60994999192
54,West Pokot,East Pokot Sub County,IL 6,Inner Lowland,ur i,Ranching Zone,139.122312116,67570.630859375,1280.02411628711
55,West Pokot,East Pokot Sub County,IL 6,Inner Lowland,ur i,Ranching Zone,139.122312116,0.646240234375,16.900864266628
56,West Pokot,Pokot South Sub County,LH 1,Lower Highland,(vl) i,Tea - Dairy Zone,5183.48455499,52167963.211731,33855.9635397019
57,West Pokot,West Pokot Sub County,LH 1,Lower Highland,(vl) i,Tea - Dairy Zone,1780.81956629,17924053.6955261,19878.1515080559
58,West Pokot,West Pokot Sub County,LH 2,Lower Highland,(vl) i,Wheat/Maize - Pyrethrum Zone,1262.72247887,12710984.8470459,18008.9828594807
59,West Pokot,Pokot South Sub County,LH 2,Lower Highland,(vl/l) i,Wheat/Maize - Pyrethrum Zone,217.351467082,2187852.17230225,7546.11389969172
60,West Pokot,West Pokot Sub County,LH 2,Lower Highland,(vl/l) i,Wheat/Maize - Pyrethrum Zone,1095.65345159,11029407.1833496,25628.0988354018
61,West Pokot,West Pokot Sub County,LH 2,Lower Highland,(vl) i,Wheat/Maize - Pyrethrum Zone,1570.25171619,15805551.9867859,20693.7137213237
62,West Pokot,Pokot Central Sub County,LH 2,Lower Highland,(vl) i,Wheat/Maize - Pyrethrum Zone,1910.78080768,19224528.3651733,54391.9969292251
63,West Pokot,West Pokot Sub County,LH 2,Lower Highland,(vl) i or two,Wheat/Maize - Pyrethrum Zone,137.887190929,1387904.24362183,10478.4555581601
64,West Pokot,Pokot South Sub County,LH 2,Lower Highland,(vl/l) i,Wheat/Maize - Pyrethrum Zone,4462.1538961,44909905.0068054,42788.992141493
65,West Pokot,West Pokot Sub County,LH 2,Lower Highland,(vl/l) i,Wheat/Maize - Pyrethrum Zone,1493.20952915,15029496.6551819,19681.5203490005
66,West Pokot,Pokot Central Sub County,LH 2,Lower Highland,(vl/l) i or two,Wheat/Maize - Pyrethrum Zone,66.9849626214,673840.212219238,3749.53370442357
67,West Pokot,Pokot South Sub County,LH 3,Lower Highland,(l/vl) i,Wheat/Maize - Barley Zone,368.246227073,3706806.59136963,14775.2755727528
68,West Pokot,West Pokot Sub County,LH 3,Lower Highland,(l/vl) i,Wheat/Maize - Barley Zone,3283.64811427,33055757.1096802,33251.5955752057
69,West Pokot,Pokot South Sub County,LH 3,Lower Highland,(l/vl) i,Wheat/Maize - Barley Zone,9006.59280305,81737408.4143066,102240.973577818
70,West Pokot,Pokot South Sub County,LH 3,Lower Highland,(l/vl) i,Wheat/Maize - Barley Zone,9006.59280305,8903411.90795898,23732.808192051
71,West Pokot,Pokot Central Sub County,LH 3,Lower Highland,(l/vl) i,Wheat/Maize - Barley Zone,5568.09455928,23736719.6934204,23059.4072523728
72,West Pokot,Pokot Central Sub County,LH 3,Lower Highland,(l/vl) i,Wheat/Maize - Barley Zone,5568.09455928,32290029.3776245,85766.7671995428
73,West Pokot,Pokot Central Sub County,LH 3,Lower Highland,(l/vl) i,Wheat/Maize - Barley Zone,5568.09455928,2041.8759765625,295.437253346961
74,West Pokot,Pokot South Sub County,LH 3,Lower Highland,(l/vl) i,Wheat/Maize - Barley Zone,327.716073692,3299096.29650879,11014.9166246613
75,West Pokot,West Pokot Sub County,LH 3,Lower Highland,(l/vl) i,Wheat/Maize - Barley Zone,4092.13967467,41197016.2330933,48884.9238357002
76,West Pokot,West Pokot Sub County,LH 3,Lower Highland,(l/vl) i,Wheat/Maize - Barley Zone,5173.74600857,52083589.9007568,61008.0695746414
77,West Pokot,Pokot Central Sub County,LH 3,Lower Highland,(l/vl) i,Wheat/Maize - Barley Zone,5840.30915712,58790857.5759277,76325.6614637526
78,West Pokot,Pokot North Sub County,LH 3,Lower Highland,(l/m) i,Wheat/Maize - Barley Zone,643.668637211,6486708.2376709,9729.44198068224
79,West Pokot,Pokot North Sub County,LH 3,Lower Highland,(l/m) i,Wheat/Maize - Barley Zone,1373.60251917,13844167.9857178,13921.4123170676
80,West Pokot,Pokot South Sub County,LH 4,Lower Highland,(l) i,Cattle - Sheep - Barley Zone,966.564136355,9729963.05456543,17710.0805583433
81,West Pokot,West Pokot Sub County,LH 4,Lower Highland,(l) i,Cattle - Sheep - Barley Zone,1887.54430056,18818863.4431763,29010.4491402718
82,West Pokot,West Pokot Sub County,LH 4,Lower Highland,(l) i,Cattle - Sheep - Barley Zone,1887.54430056,176802.490783691,2394.34430872731
83,West Pokot,West Pokot Sub County,LH 4,Lower Highland,(l) i,Cattle - Sheep - Barley Zone,1887.54430056,6924.22436523438,767.051484509082
84,West Pokot,Pokot South Sub County,LH 4,Lower Highland,(l) i,Cattle - Sheep - Barley Zone,4268.52691373,42959587.6589966,90385.6823275474
85,West Pokot,Pokot Central Sub County,LH 4,Lower Highland,(l) i,Cattle - Sheep - Barley Zone,245.460432372,2470375.28375244,7965.89022613182
86,West Pokot,Pokot South Sub County,LH 4,Lower Highland,(l) i,Cattle - Sheep - Barley Zone,743.273953251,7482687.5199585,16739.7518996518
87,West Pokot,West Pokot Sub County,LH 4,Lower Highland,(l) i,Cattle - Sheep - Barley Zone,3066.32462093,30871086.8806152,56228.9174192654
88,West Pokot,West Pokot Sub County,LH 4,Lower Highland,(l) i,Cattle - Sheep - Barley Zone,940.462997527,9469567.77478027,17291.9790108579
89,West Pokot,West Pokot Sub County,LH 4,Lower Highland,(l) i,Cattle - Sheep - Barley Zone,1872.56593249,18852533.7897339,27533.2127507252
90,West Pokot,Pokot South Sub County,LM 4,Lower Midland,(m/l) i,Marginal Cotton Zone,83.1862703202,6961.69171142578,534.049156098386
91,West Pokot,Pokot South Sub County,LM 4,Lower Midland,(m/l) i,Marginal Cotton Zone,83.1862703202,26662.5812988281,853.472929322945
92,West Pokot,Pokot South Sub County,LM 4,Lower Midland,(m/l) i,Marginal Cotton Zone,83.1862703202,803436.44354248,3609.03890696385
93,West Pokot,Pokot Central Sub County,LM 4,Lower Midland,(m/l) i,Marginal Cotton Zone,1449.80103178,14589139.9036865,23664.4260448805
94,West Pokot,Pokot North Sub County,LM 4 - 5,Lower Midland,(m/l)i or (vs^s/m) i,Maize & Marginal Cotton/Livestock - Millet Zone,249.633763903,2513833.5982666,9029.49394710182
95,West Pokot,West Pokot Sub County,LM 4 - 5,Lower Midland,(m/l)i or (vs^s/m) i,Maize & Marginal Cotton/Livestock - Millet Zone,8457.39139033,85157415.6033936,61965.6633135277
96,West Pokot,Pokot South Sub County,LM 4 - 5,Lower Midland,(m/l) i,Maize & Marginal Cotton/Livestock - Millet Zone,1883.57983316,18963234.2485962,22918.7670268979
97,West Pokot,Pokot North Sub County,LM 4 - 5,Lower Midland,(m/l) i,Maize & Marginal Cotton/Livestock - Millet Zone,3296.4978851,33195248.2828979,42672.2091877455
98,West Pokot,West Pokot Sub County,LM 4 - 5,Lower Midland,(m/l) i,Maize & Marginal Cotton/Livestock - Millet Zone,6803.57607647,68503774.3716431,91594.1425026544
99,West Pokot,Pokot Central Sub County,LM 5,Lower Midland,i (vs) i,Livestock - Millet Zone,2257.46411447,22712752.7194824,25951.0681771837
100,West Pokot,West Pokot Sub County,LM 5,Lower Midland,i (vs) i,Livestock - Millet Zone,86.7335198381,873308.78918457,5779.30920901094
101,West Pokot,Pokot Central Sub County,LM 5,Lower Midland,i (vs) i,Livestock - Millet Zone,1924.3100807,19373641.7164917,32757.310394904
102,West Pokot,Pokot North Sub County,LM 5,Lower Midland,(m) i or (vs^s/vs) i,Livestock - Millet Zone,40249.7687502,405339133.402344,118395.539798404
103,West Pokot,West Pokot Sub County,LM 5,Lower Midland,(m) i or (vs^s/vs) i,Livestock - Millet Zone,21576.3875571,217246877.974304,82964.3300682475
104,West Pokot,Sub-County in West Pokot,LM 5,Lower Midland,(m) i or (vs^s/vs) i,Livestock - Millet Zone,444.147142875,4473252.20379639,44005.5172642162
105,West Pokot,Pokot North Sub County,LM 5,Lower Midland,(s) i,Livestock - Millet Zone,194457.639317,1959390336.2077,521237.935653387
106,West Pokot,Loima Sub County,LM 5,Lower Midland,(s) i,Livestock - Millet Zone,543.861095483,470444.922729492,3001.78194266461
107,West Pokot,Loima Sub County,LM 5,Lower Midland,(s) i,Livestock - Millet Zone,543.861095483,189968.591064453,3360.28976011483
108,West Pokot,Loima Sub County,LM 5,Lower Midland,(s) i,Livestock - Millet Zone,543.861095483,149462.148376465,5770.89197199058
109,West Pokot,Loima Sub County,LM 5,Lower Midland,(s) i,Livestock - Millet Zone,543.861095483,4672888.54064941,14276.4136188155
110,West Pokot,Sub-County in West Pokot,LM 5,Lower Midland,(s) i,Livestock - Millet Zone,3531.73773787,190991.204833984,3496.76551673621
111,West Pokot,Sub-County in West Pokot,LM 5,Lower Midland,(s) i,Livestock - Millet Zone,3531.73773787,34598061.9225464,40866.440751645
112,West Pokot,Sub-County in West Pokot,LM 5,Lower Midland,(s) i,Livestock - Millet Zone,3531.73773787,530433.268493652,5726.15947642364
113,West Pokot,Sub-County in West Pokot,LM 5,Lower Midland,(s) i,Livestock - Millet Zone,3531.73773787,271172.579345703,8044.10450952626
