FID,County,Sub_County,AEZ_Code,AEZ_Name,AEZSubzone,Major_Crop,AREA,Shape__Area,Shape__Length
1343,Elgeyo Marakwet,Pokot Central Sub County,LH 3,Lower Highland,(l/vl) i,Wheat/Maize - Barley Zone,16.1561926284,162521.678344727,1838.59210211261
1344,Elgeyo Marakwet,Marakwet East sub-county,LM 4,Lower Midland,(m/l) i,Marginal Cotton Zone,6057.40768584,60924088.9230042,59280.1551159083
1345,Elgeyo Marakwet,Keiyo South Sub County,LM 4,Lower Midland,(m/l) i,Marginal Cotton Zone,12973.4575987,130438262.86718,107780.973217952
1346,Elgeyo Marakwet,Keiyo North Sub County,LM 4,Lower Midland,(m/l) i,Marginal Cotton Zone,6485.37930972,65220186.8179779,70755.7968981341
1347,Elgeyo Marakwet,Baringo Central Sub County,LM 4,Lower Midland,(m/l) i,Marginal Cotton Zone,48.6986520696,2725.66412353516,253.974946279311
1348,Elgeyo Marakwet,Baringo Central Sub County,LM 4,Lower Midland,(m/l) i,Marginal Cotton Zone,48.6986520696,30553.7560119629,802.222829622504
1349,Elgeyo Marakwet,Baringo Central Sub County,LM 4,Lower Midland,(m/l) i,Marginal Cotton Zone,48.6986520696,5834.25489807129,324.80377913574
1350,Elgeyo Marakwet,Baringo Central Sub County,LM 4,Lower Midland,(m/l) i,Marginal Cotton Zone,48.6986520696,11141.9442138672,511.790643986257
1351,Elgeyo Marakwet,Baringo Central Sub County,LM 4,Lower Midland,(m/l) i,Marginal Cotton Zone,48.6986520696,152223.836990356,2869.92588773667
1352,Elgeyo Marakwet,Baringo Central Sub County,LM 4,Lower Midland,(m/l) i,Marginal Cotton Zone,48.6986520696,30730.6442871094,784.390274267838
1353,Elgeyo Marakwet,Baringo Central Sub County,LM 4,Lower Midland,(m/l) i,Marginal Cotton Zone,48.6986520696,158080.835296631,2589.8448230164
1354,Elgeyo Marakwet,Baringo Central Sub County,LM 4,Lower Midland,(m/l) i,Marginal Cotton Zone,48.6986520696,28442.8821258545,1196.97836527593
1355,Elgeyo Marakwet,Baringo Central Sub County,LM 4,Lower Midland,(m/l) i,Marginal Cotton Zone,48.6986520696,15101.4298553467,952.583881140034
1356,Elgeyo Marakwet,Baringo Central Sub County,LM 4,Lower Midland,(m/l) i,Marginal Cotton Zone,48.6986520696,14869.5972137451,590.807380584997
1357,Elgeyo Marakwet,Baringo Central Sub County,LM 4,Lower Midland,(m/l) i,Marginal Cotton Zone,48.6986520696,981.846221923828,171.203701161204
1358,Elgeyo Marakwet,Baringo Central Sub County,LM 4,Lower Midland,(m/l) i,Marginal Cotton Zone,48.6986520696,22932.9040985107,605.03603241023
1359,Elgeyo Marakwet,Baringo Central Sub County,LM 4,Lower Midland,(m/l) i,Marginal Cotton Zone,48.6986520696,877.691009521484,157.049727594205
1360,Elgeyo Marakwet,Baringo Central Sub County,LM 4,Lower Midland,(m/l) i,Marginal Cotton Zone,48.6986520696,247.753845214844,69.3562897905995
1361,Elgeyo Marakwet,Baringo Central Sub County,LM 4,Lower Midland,(m/l) i,Marginal Cotton Zone,48.6986520696,481.276779174805,142.345839441289
1362,Elgeyo Marakwet,Baringo Central Sub County,LM 4,Lower Midland,(m/l) i,Marginal Cotton Zone,48.6986520696,340.57251739502,85.1099276595808
1363,Elgeyo Marakwet,Baringo Central Sub County,LM 4,Lower Midland,(m/l) i,Marginal Cotton Zone,48.6986520696,5681.31928253174,566.448911583595
1364,Elgeyo Marakwet,Baringo Central Sub County,LM 4,Lower Midland,(m/l) i,Marginal Cotton Zone,48.6986520696,4707.10027313232,270.699280564657
1365,Elgeyo Marakwet,Baringo Central Sub County,LM 4,Lower Midland,(m/l) i,Marginal Cotton Zone,48.6986520696,978.021026611328,140.202126588005
1366,Elgeyo Marakwet,Baringo Central Sub County,LM 4,Lower Midland,(m/l) i,Marginal Cotton Zone,48.6986520696,4.14105224609375,10.1960268402118
1367,Elgeyo Marakwet,Baringo Central Sub County,LM 4,Lower Midland,(m/l) i,Marginal Cotton Zone,48.6986520696,1565.85179901123,202.35355588256
1368,Elgeyo Marakwet,Baringo Central Sub County,LM 4,Lower Midland,(m/l) i,Marginal Cotton Zone,48.6986520696,827.388694763184,139.293842894322
1369,Elgeyo Marakwet,Baringo Central Sub County,LM 4,Lower Midland,(m/l) i,Marginal Cotton Zone,48.6986520696,56.1703643798828,71.9364497735518
1370,Elgeyo Marakwet,Baringo Central Sub County,LM 4,Lower Midland,(m/l) i,Marginal Cotton Zone,48.6986520696,196.741920471191,88.5337851496807
1371,Elgeyo Marakwet,Marakwet West Sub County,LM 4,Lower Midland,(m/l) i,Marginal Cotton Zone,2992.38313794,30094621.1972046,41014.285756424
1372,Elgeyo Marakwet,Keiyo South Sub County,LM 4,Lower Midland,(m/l) i,Marginal Cotton Zone,7.28533727964,73239.3600616455,1747.92569446044
1373,Elgeyo Marakwet,Baringo Central Sub County,LM 4,Lower Midland,(m/l) i,Marginal Cotton Zone,5.60708417695,4296.95359802246,459.609309897512
1374,Elgeyo Marakwet,Baringo Central Sub County,LM 4,Lower Midland,(m/l) i,Marginal Cotton Zone,5.60708417695,13.1646957397461,22.2652498734103
1375,Elgeyo Marakwet,Baringo Central Sub County,LM 4,Lower Midland,(m/l) i,Marginal Cotton Zone,5.60708417695,52057.5576782227,1501.08554650415
1376,Elgeyo Marakwet,Keiyo South Sub County,LM 4,Lower Midland,(m/l) i,Marginal Cotton Zone,4.96975061392,6056.83499908447,366.658119264903
1377,Elgeyo Marakwet,Keiyo South Sub County,LM 4,Lower Midland,(m/l) i,Marginal Cotton Zone,4.96975061392,43904.0349960327,1487.03856609961
1378,Elgeyo Marakwet,Baringo Central Sub County,LM 4,Lower Midland,(m/l) i,Marginal Cotton Zone,0.769701699711,7737.79943084717,333.513600274234
1379,Elgeyo Marakwet,Keiyo South Sub County,LM 4,Lower Midland,(m/l) i,Marginal Cotton Zone,0.467896487911,4636.43017578125,407.974441091612
1380,Elgeyo Marakwet,Keiyo South Sub County,LM 4,Lower Midland,(m/l) i,Marginal Cotton Zone,0.467896487911,67.3116760253906,47.5189783343136
1381,Elgeyo Marakwet,Baringo Central Sub County,LM 4,Lower Midland,(m/l) i,Marginal Cotton Zone,1.79289271929,18023.8681106567,632.664357090312
1382,Elgeyo Marakwet,Keiyo South Sub County,LM 4,Lower Midland,(m/l) i,Marginal Cotton Zone,1.30364393397,13105.4602584839,585.753921246773
1383,Elgeyo Marakwet,Baringo Central Sub County,LM 4,Lower Midland,(m/l) i,Marginal Cotton Zone,0.138380372939,738.234222412109,133.541749843288
1384,Elgeyo Marakwet,Baringo Central Sub County,LM 4,Lower Midland,(m/l) i,Marginal Cotton Zone,0.138380372939,652.896141052246,196.039007009408
1385,Elgeyo Marakwet,Keiyo South Sub County,LM 4,Lower Midland,(m/l) i,Marginal Cotton Zone,0.135209943615,1359.25846099854,158.015079487488
1386,Elgeyo Marakwet,Keiyo South Sub County,LM 4,Lower Midland,(m/l) i,Marginal Cotton Zone,0.457633482385,4600.56273651123,401.708637323637
1387,Elgeyo Marakwet,Baringo Central Sub County,LM 4,Lower Midland,(m/l) i,Marginal Cotton Zone,0.0824360670302,828.725326538086,167.170972073153
1388,Elgeyo Marakwet,Keiyo South Sub County,LM 4,Lower Midland,(m/l) i,Marginal Cotton Zone,0.252000537344,2533.34830474854,214.641665752349
1389,Elgeyo Marakwet,Keiyo South Sub County,LM 4,Lower Midland,(m/l) i,Marginal Cotton Zone,0.00325708197984,32.7433090209961,40.5661564468758
1390,Elgeyo Marakwet,Baringo Central Sub County,LM 4,Lower Midland,(m/l) i,Marginal Cotton Zone,0.184649218371,1856.27011108398,193.079126502413
1391,Elgeyo Marakwet,Keiyo South Sub County,LM 4,Lower Midland,(m/l) i,Marginal Cotton Zone,0.278487655707,2799.62590026855,251.624883341999
1392,Elgeyo Marakwet,Keiyo South Sub County,LM 4,Lower Midland,(m/l) i,Marginal Cotton Zone,1.39488381309,7294.6661605835,344.83352877758
1393,Elgeyo Marakwet,Keiyo South Sub County,LM 4,Lower Midland,(m/l) i,Marginal Cotton Zone,1.39488381309,6728.05477905273,359.852956926216
1394,Elgeyo Marakwet,Baringo Central Sub County,LM 4,Lower Midland,(m/l) i,Marginal Cotton Zone,1.56344967659,13665.6196136475,469.223229996919
1395,Elgeyo Marakwet,Baringo Central Sub County,LM 4,Lower Midland,(m/l) i,Marginal Cotton Zone,1.56344967659,2051.69931793213,258.782643461276
1396,Elgeyo Marakwet,Keiyo South Sub County,LM 4,Lower Midland,(m/l) i,Marginal Cotton Zone,0.085305345311,857.573989868164,159.238108446801
1397,Elgeyo Marakwet,Baringo Central Sub County,LM 4,Lower Midland,(m/l) i,Marginal Cotton Zone,1.25835049527,12650.1757659912,415.34603359656
1398,Elgeyo Marakwet,Keiyo South Sub County,LM 4,Lower Midland,(m/l) i,Marginal Cotton Zone,2.25974444733,19489.3458557129,827.492201176788
1399,Elgeyo Marakwet,Keiyo South Sub County,LM 4,Lower Midland,(m/l) i,Marginal Cotton Zone,2.25974444733,3227.89682006836,428.115410838393
1400,Elgeyo Marakwet,Baringo Central Sub County,LM 4,Lower Midland,(m/l) i,Marginal Cotton Zone,2.33225183356,4067.79293823242,371.827906987557
1401,Elgeyo Marakwet,Baringo Central Sub County,LM 4,Lower Midland,(m/l) i,Marginal Cotton Zone,2.33225183356,19378.3594360352,727.506370447067
1402,Elgeyo Marakwet,Keiyo South Sub County,LM 4,Lower Midland,(m/l) i,Marginal Cotton Zone,0.914973927261,9198.25622558594,422.406205265409
1403,Elgeyo Marakwet,Baringo Central Sub County,LM 4,Lower Midland,(m/l) i,Marginal Cotton Zone,0.261466493636,2628.52816772461,368.680539422248
1404,Elgeyo Marakwet,Keiyo South Sub County,LM 4,Lower Midland,(m/l) i,Marginal Cotton Zone,0.227583644384,2287.90458679199,212.597189379029
1405,Elgeyo Marakwet,Baringo Central Sub County,LM 4,Lower Midland,(m/l) i,Marginal Cotton Zone,0.039106742063,393.141021728516,87.3225761990637
1406,Elgeyo Marakwet,Keiyo South Sub County,LM 4,Lower Midland,(m/l) i,Marginal Cotton Zone,0.823557083471,8279.19334411621,433.280993563542
1407,Elgeyo Marakwet,Baringo Central Sub County,LM 4,Lower Midland,(m/l) i,Marginal Cotton Zone,0.302392531326,3039.94200134277,294.264417891717
1408,Elgeyo Marakwet,Keiyo South Sub County,LM 4,Lower Midland,(m/l) i,Marginal Cotton Zone,3.70750819496,37271.3541717529,987.637104995172
1409,Elgeyo Marakwet,Baringo Central Sub County,LM 4,Lower Midland,(m/l) i,Marginal Cotton Zone,4.68543081218,47102.3205871582,1086.20362086434
1410,Elgeyo Marakwet,Keiyo South Sub County,LM 4,Lower Midland,(m/l) i,Marginal Cotton Zone,3.79931041305,38194.3404083252,1058.56152002071
1411,Elgeyo Marakwet,Baringo Central Sub County,LM 4,Lower Midland,(m/l) i,Marginal Cotton Zone,2.87562593414,28908.5393829346,741.548247928264
1412,Elgeyo Marakwet,Keiyo South Sub County,LM 4,Lower Midland,(m/l) i,Marginal Cotton Zone,3.68116574344,315.250335693359,130.295539434229
1413,Elgeyo Marakwet,Keiyo South Sub County,LM 4,Lower Midland,(m/l) i,Marginal Cotton Zone,3.68116574344,33451.4280700684,886.213242930432
1414,Elgeyo Marakwet,Keiyo South Sub County,LM 4,Lower Midland,(m/l) i,Marginal Cotton Zone,3.68116574344,3240.32002258301,275.700811152313
1415,Elgeyo Marakwet,Baringo Central Sub County,LM 4,Lower Midland,(m/l) i,Marginal Cotton Zone,30.8215003373,309850.661346436,3179.66166026215
1416,Elgeyo Marakwet,Baringo Central Sub County,LM 4,Lower Midland,(m/l) i,Marginal Cotton Zone,2.32921950012,23416.3834686279,890.190380821018
1417,Elgeyo Marakwet,Keiyo South Sub County,LM 4,Lower Midland,(m/l) i,Marginal Cotton Zone,2.02952274815,20403.2418823242,718.15239396247
1418,Elgeyo Marakwet,Baringo Central Sub County,LM 4,Lower Midland,(m/l) i,Marginal Cotton Zone,7.29090662516,54608.480758667,1008.96946615834
1419,Elgeyo Marakwet,Baringo Central Sub County,LM 4,Lower Midland,(m/l) i,Marginal Cotton Zone,7.29090662516,18688.7166290283,1070.67507348932
1420,Elgeyo Marakwet,Baringo Central Sub County,LM 4,Lower Midland,(m/l) i,Marginal Cotton Zone,5.8932831569,59247.500869751,1002.76323320232
1421,Elgeyo Marakwet,Keiyo South Sub County,LM 4,Lower Midland,(m/l) i,Marginal Cotton Zone,2.80463749964,20627.570526123,592.070324836333
1422,Elgeyo Marakwet,Keiyo South Sub County,LM 4,Lower Midland,(m/l) i,Marginal Cotton Zone,2.80463749964,2670.59951782227,265.416896158902
1423,Elgeyo Marakwet,Keiyo South Sub County,LM 4,Lower Midland,(m/l) i,Marginal Cotton Zone,2.80463749964,4898.54747009277,391.241599610024
1424,Elgeyo Marakwet,Baringo Central Sub County,LM 4,Lower Midland,(m/l) i,Marginal Cotton Zone,34.9902883133,351777.271484375,4615.14622600983
1425,Elgeyo Marakwet,Baringo Central Sub County,LM 4,Lower Midland,(m/l) i,Marginal Cotton Zone,9.27681352032,93266.6663360596,1689.1418286866
1426,Elgeyo Marakwet,Marakwet East sub-county,LM 5,Lower Midland,(vs^f vs) i,Livestock - Millet Zone,2285.61913589,22987781.9551392,50156.6777923233
1427,Elgeyo Marakwet,Pokot Central Sub County,LM 5,Lower Midland,(vs^f vs) i,Livestock - Millet Zone,31.7056093061,318928.044006348,2596.26199455986
1428,Elgeyo Marakwet,East Pokot Sub County,LM 5,Lower Midland,(vs^f vs) i,Livestock - Millet Zone,0.568488972633,5717.49423217773,422.721903790396
1429,Elgeyo Marakwet,Marakwet East sub-county,LM 5,Lower Midland,(vs^s/vs) i,Livestock - Millet Zone,8417.98205494,84666340.925415,69296.6680541177
1430,Elgeyo Marakwet,Keiyo South Sub County,LM 5,Lower Midland,(vs^s/vs) i,Livestock - Millet Zone,9959.79223068,100142576.358955,79227.9662219633
1431,Elgeyo Marakwet,Pokot Central Sub County,LM 5,Lower Midland,(vs^s/vs) i,Livestock - Millet Zone,86.8071226974,873211.662780762,6302.18227944506
1432,Elgeyo Marakwet,Keiyo North Sub County,LM 5,Lower Midland,(vs^s/vs) i,Livestock - Millet Zone,8236.74116902,82829642.6730652,72743.8488776445
1433,Elgeyo Marakwet,Baringo North Sub County,LM 5,Lower Midland,(vs^s/vs) i,Livestock - Millet Zone,46.785611463,19733.8072814941,673.317378773413
1434,Elgeyo Marakwet,Baringo North Sub County,LM 5,Lower Midland,(vs^s/vs) i,Livestock - Millet Zone,46.785611463,29218.354385376,987.589077494911
1435,Elgeyo Marakwet,Baringo North Sub County,LM 5,Lower Midland,(vs^s/vs) i,Livestock - Millet Zone,46.785611463,408685.09223938,5334.25803858575
1436,Elgeyo Marakwet,Baringo North Sub County,LM 5,Lower Midland,(vs^s/vs) i,Livestock - Millet Zone,46.785611463,11774.1148223877,892.047702038579
1437,Elgeyo Marakwet,Baringo North Sub County,LM 5,Lower Midland,(vs^s/vs) i,Livestock - Millet Zone,46.785611463,1045.39807128906,187.152247093736
1438,Elgeyo Marakwet,Baringo Central Sub County,LM 5,Lower Midland,(vs^s/vs) i,Livestock - Millet Zone,220.109216285,2349.39196777344,237.066815359713
1439,Elgeyo Marakwet,Baringo Central Sub County,LM 5,Lower Midland,(vs^s/vs) i,Livestock - Millet Zone,220.109216285,15883.6350708008,701.453355780416
1440,Elgeyo Marakwet,Baringo Central Sub County,LM 5,Lower Midland,(vs^s/vs) i,Livestock - Millet Zone,220.109216285,18410.3611602783,716.104281196315
1441,Elgeyo Marakwet,Baringo Central Sub County,LM 5,Lower Midland,(vs^s/vs) i,Livestock - Millet Zone,220.109216285,2911.74806213379,248.853529743662
1442,Elgeyo Marakwet,Baringo Central Sub County,LM 5,Lower Midland,(vs^s/vs) i,Livestock - Millet Zone,220.109216285,6238.44821166992,370.741368444638
1443,Elgeyo Marakwet,Baringo Central Sub County,LM 5,Lower Midland,(vs^s/vs) i,Livestock - Millet Zone,220.109216285,206677.904418945,3025.72001874787
1444,Elgeyo Marakwet,Baringo Central Sub County,LM 5,Lower Midland,(vs^s/vs) i,Livestock - Millet Zone,220.109216285,0.387954711914063,7.81568533262989
1445,Elgeyo Marakwet,Baringo Central Sub County,LM 5,Lower Midland,(vs^s/vs) i,Livestock - Millet Zone,220.109216285,24742.1882324219,786.756774367598
1446,Elgeyo Marakwet,Baringo Central Sub County,LM 5,Lower Midland,(vs^s/vs) i,Livestock - Millet Zone,220.109216285,14783.4048156738,465.626150999358
1447,Elgeyo Marakwet,Baringo Central Sub County,LM 5,Lower Midland,(vs^s/vs) i,Livestock - Millet Zone,220.109216285,526723.893707275,5225.73992759499
1448,Elgeyo Marakwet,Baringo Central Sub County,LM 5,Lower Midland,(vs^s/vs) i,Livestock - Millet Zone,220.109216285,101644.794235229,1426.21478333942
1449,Elgeyo Marakwet,Baringo Central Sub County,LM 5,Lower Midland,(vs^s/vs) i,Livestock - Millet Zone,220.109216285,176279.99407959,2900.14504957604
1450,Elgeyo Marakwet,Baringo Central Sub County,LM 5,Lower Midland,(vs^s/vs) i,Livestock - Millet Zone,220.109216285,10403.6446380615,606.461111905291
1451,Elgeyo Marakwet,Baringo Central Sub County,LM 5,Lower Midland,(vs^s/vs) i,Livestock - Millet Zone,220.109216285,81381.7835998535,1276.48373564335
1452,Elgeyo Marakwet,Baringo Central Sub County,LM 5,Lower Midland,(vs^s/vs) i,Livestock - Millet Zone,220.109216285,92463.7501373291,1596.4856687712
1453,Elgeyo Marakwet,Baringo Central Sub County,LM 5,Lower Midland,(vs^s/vs) i,Livestock - Millet Zone,220.109216285,13496.3343200684,567.807541723121
1454,Elgeyo Marakwet,Baringo Central Sub County,LM 5,Lower Midland,(vs^s/vs) i,Livestock - Millet Zone,220.109216285,177659.303527832,2423.31936541534
1455,Elgeyo Marakwet,Baringo Central Sub County,LM 5,Lower Midland,(vs^s/vs) i,Livestock - Millet Zone,220.109216285,10947.7503051758,676.908819215218
1456,Elgeyo Marakwet,Baringo Central Sub County,LM 5,Lower Midland,(vs^s/vs) i,Livestock - Millet Zone,220.109216285,71572.0178070068,1893.37195582495
1457,Elgeyo Marakwet,Baringo Central Sub County,LM 5,Lower Midland,(vs^s/vs) i,Livestock - Millet Zone,220.109216285,29125.8355712891,698.323401882906
1458,Elgeyo Marakwet,Baringo Central Sub County,LM 5,Lower Midland,(vs^s/vs) i,Livestock - Millet Zone,220.109216285,23793.97706604,621.476483933995
1459,Elgeyo Marakwet,Baringo Central Sub County,LM 5,Lower Midland,(vs^s/vs) i,Livestock - Millet Zone,220.109216285,101324.999298096,1663.34697067429
1460,Elgeyo Marakwet,Baringo Central Sub County,LM 5,Lower Midland,(vs^s/vs) i,Livestock - Millet Zone,220.109216285,12999.6348114014,800.721083798989
1461,Elgeyo Marakwet,Baringo Central Sub County,LM 5,Lower Midland,(vs^s/vs) i,Livestock - Millet Zone,220.109216285,217476.687698364,2893.15402202309
1462,Elgeyo Marakwet,Baringo Central Sub County,LM 5,Lower Midland,(vs^s/vs) i,Livestock - Millet Zone,220.109216285,182370.671554565,2514.54443588358
1463,Elgeyo Marakwet,Baringo Central Sub County,LM 5,Lower Midland,(vs^s/vs) i,Livestock - Millet Zone,220.109216285,91441.073059082,2081.8214172588
1464,Elgeyo Marakwet,Marakwet West Sub County,LM 5,Lower Midland,(vs^s/vs) i,Livestock - Millet Zone,1441.65683147,14498631.5622559,38285.1648110195
1465,Elgeyo Marakwet,Keiyo North Sub County,LM 5,Lower Midland,(vs^vs/s) i,Livestock - Millet Zone,1.27525907959,12823.7222595215,670.003012934151
1466,Elgeyo Marakwet,Keiyo North Sub County,LM 5,Lower Midland,(vs^vs/s) i,Livestock - Millet Zone,131.187919033,1318899.41485596,10161.6228475229
1467,Elgeyo Marakwet,Keiyo North Sub County,LM 5,Lower Midland,(vs^vs/s) i,Livestock - Millet Zone,131.187919033,295.735931396484,130.219379039493
1468,Elgeyo Marakwet,Baringo North Sub County,LM 5,Lower Midland,(vs^vs/s) i,Livestock - Millet Zone,10.5187493394,529.2705078125,145.262507960262
1469,Elgeyo Marakwet,Baringo North Sub County,LM 5,Lower Midland,(vs^vs/s) i,Livestock - Millet Zone,10.5187493394,307.826385498047,96.5503201941894
1470,Elgeyo Marakwet,Baringo North Sub County,LM 5,Lower Midland,(vs^vs/s) i,Livestock - Millet Zone,10.5187493394,23253.8870239258,967.88911702354
1471,Elgeyo Marakwet,Baringo North Sub County,LM 5,Lower Midland,(vs^vs/s) i,Livestock - Millet Zone,10.5187493394,54172.3273925781,1309.85560605266
1472,Elgeyo Marakwet,Baringo North Sub County,LM 5,Lower Midland,(vs^vs/s) i,Livestock - Millet Zone,10.5187493394,105.302856445313,65.9581058706808
1473,Elgeyo Marakwet,Baringo North Sub County,LM 5,Lower Midland,(vs^vs/s) i,Livestock - Millet Zone,10.5187493394,2925.64715576172,228.619129435014
1474,Elgeyo Marakwet,Baringo North Sub County,LM 5,Lower Midland,(vs^vs/s) i,Livestock - Millet Zone,10.5187493394,17370.8990478516,620.937209331446
1475,Elgeyo Marakwet,Baringo North Sub County,LM 5,Lower Midland,(vs^vs/s) i,Livestock - Millet Zone,10.5187493394,7108.85235595703,342.895002086186
1476,Elgeyo Marakwet,Keiyo North Sub County,LM 5,Lower Midland,(vs^vs/s) i,Livestock - Millet Zone,0.928452697131,9336.38708496094,398.129495528097
1477,Elgeyo Marakwet,Keiyo North Sub County,LM 5,Lower Midland,(vs^vs/s) i,Livestock - Millet Zone,3397.55513694,34151218.2340088,64959.4483323039
1478,Elgeyo Marakwet,Keiyo North Sub County,LM 5,Lower Midland,(vs^vs/s) i,Livestock - Millet Zone,3397.55513694,40.5162048339844,42.153571886478
1479,Elgeyo Marakwet,Keiyo North Sub County,LM 5,Lower Midland,(vs^vs/s) i,Livestock - Millet Zone,3397.55513694,2035.66967773438,243.723848742598
1480,Elgeyo Marakwet,Keiyo North Sub County,LM 5,Lower Midland,(vs^vs/s) i,Livestock - Millet Zone,3397.55513694,2330.64703369141,196.651857121848
1481,Elgeyo Marakwet,Keiyo North Sub County,LM 5,Lower Midland,(vs^vs/s) i,Livestock - Millet Zone,3397.55513694,7917.82879638672,357.212140076496
1482,Elgeyo Marakwet,Keiyo North Sub County,LM 5,Lower Midland,(vs^vs/s) i,Livestock - Millet Zone,3397.55513694,2101.10522460938,231.470122068836
1483,Elgeyo Marakwet,Keiyo North Sub County,LM 5,Lower Midland,(vs^vs/s) i,Livestock - Millet Zone,3397.55513694,23.2355041503906,28.5565349066097
1484,Elgeyo Marakwet,Baringo North Sub County,LM 5,Lower Midland,(vs^vs/s) i,Livestock - Millet Zone,175.701660791,31977.8822631836,1160.38608486578
1485,Elgeyo Marakwet,Baringo North Sub County,LM 5,Lower Midland,(vs^vs/s) i,Livestock - Millet Zone,175.701660791,769.604156494141,206.681359497928
1486,Elgeyo Marakwet,Baringo North Sub County,LM 5,Lower Midland,(vs^vs/s) i,Livestock - Millet Zone,175.701660791,43908.1827697754,969.467272052882
1487,Elgeyo Marakwet,Baringo North Sub County,LM 5,Lower Midland,(vs^vs/s) i,Livestock - Millet Zone,175.701660791,29199.0331726074,820.142579346515
1488,Elgeyo Marakwet,Baringo North Sub County,LM 5,Lower Midland,(vs^vs/s) i,Livestock - Millet Zone,175.701660791,4657.50430297852,294.295694024313
1489,Elgeyo Marakwet,Baringo North Sub County,LM 5,Lower Midland,(vs^vs/s) i,Livestock - Millet Zone,175.701660791,29874.4780578613,1028.56479221071
1490,Elgeyo Marakwet,Baringo North Sub County,LM 5,Lower Midland,(vs^vs/s) i,Livestock - Millet Zone,175.701660791,9442.82611083984,710.557793686088
1491,Elgeyo Marakwet,Baringo North Sub County,LM 5,Lower Midland,(vs^vs/s) i,Livestock - Millet Zone,175.701660791,9583.07696533203,426.805120740042
1492,Elgeyo Marakwet,Baringo North Sub County,LM 5,Lower Midland,(vs^vs/s) i,Livestock - Millet Zone,175.701660791,22657.5002746582,639.395735067684
1493,Elgeyo Marakwet,Baringo North Sub County,LM 5,Lower Midland,(vs^vs/s) i,Livestock - Millet Zone,175.701660791,96745.0709228516,2151.66554495177
1494,Elgeyo Marakwet,Baringo North Sub County,LM 5,Lower Midland,(vs^vs/s) i,Livestock - Millet Zone,175.701660791,6449.49114990234,718.065642105871
1495,Elgeyo Marakwet,Baringo North Sub County,LM 5,Lower Midland,(vs^vs/s) i,Livestock - Millet Zone,175.701660791,3969.57537841797,319.723100033607
1496,Elgeyo Marakwet,Baringo North Sub County,LM 5,Lower Midland,(vs^vs/s) i,Livestock - Millet Zone,175.701660791,14969.3104858398,635.236085057164
1497,Elgeyo Marakwet,Baringo North Sub County,LM 5,Lower Midland,(vs^vs/s) i,Livestock - Millet Zone,175.701660791,336714.488464355,3537.13018730118
1498,Elgeyo Marakwet,Baringo North Sub County,LM 5,Lower Midland,(vs^vs/s) i,Livestock - Millet Zone,175.701660791,210855.258178711,2635.28673429589
1499,Elgeyo Marakwet,Baringo North Sub County,LM 5,Lower Midland,(vs^vs/s) i,Livestock - Millet Zone,175.701660791,16811.6586608887,516.522071772601
1500,Elgeyo Marakwet,Baringo North Sub County,LM 5,Lower Midland,(vs^vs/s) i,Livestock - Millet Zone,175.701660791,7354.50039672852,366.18320437518
1501,Elgeyo Marakwet,Baringo North Sub County,LM 5,Lower Midland,(vs^vs/s) i,Livestock - Millet Zone,175.701660791,592.075134277344,115.169030981348
1502,Elgeyo Marakwet,Baringo North Sub County,LM 5,Lower Midland,(vs^vs/s) i,Livestock - Millet Zone,175.701660791,136751.91204834,2094.03654144953
1503,Elgeyo Marakwet,Baringo North Sub County,LM 5,Lower Midland,(vs^vs/s) i,Livestock - Millet Zone,175.701660791,21579.731048584,980.47754837538
1504,Elgeyo Marakwet,Baringo North Sub County,LM 5,Lower Midland,(vs^vs/s) i,Livestock - Millet Zone,175.701660791,17674.4599609375,613.564059230202
1505,Elgeyo Marakwet,Baringo North Sub County,LM 5,Lower Midland,(vs^vs/s) i,Livestock - Millet Zone,175.701660791,18495.447052002,750.994349751527
1506,Elgeyo Marakwet,Baringo North Sub County,LM 5,Lower Midland,(vs^vs/s) i,Livestock - Millet Zone,175.701660791,72617.6119995117,1347.14945984566
1507,Elgeyo Marakwet,Baringo North Sub County,LM 5,Lower Midland,(vs^vs/s) i,Livestock - Millet Zone,175.701660791,499.125152587891,108.05781655894
1508,Elgeyo Marakwet,Baringo North Sub County,LM 5,Lower Midland,(vs^vs/s) i,Livestock - Millet Zone,175.701660791,14050.650390625,684.055004539912
1509,Elgeyo Marakwet,Baringo North Sub County,LM 5,Lower Midland,(vs^vs/s) i,Livestock - Millet Zone,175.701660791,1920.06060791016,198.104129548554
1510,Elgeyo Marakwet,Baringo North Sub County,LM 5,Lower Midland,(vs^vs/s) i,Livestock - Millet Zone,175.701660791,3828.49853515625,246.505787658549
1511,Elgeyo Marakwet,Baringo North Sub County,LM 5,Lower Midland,(vs^vs/s) i,Livestock - Millet Zone,175.701660791,1927.02319335938,183.070270156126
1512,Elgeyo Marakwet,Baringo North Sub County,LM 5,Lower Midland,(vs^vs/s) i,Livestock - Millet Zone,175.701660791,1784.07321166992,192.538853630826
1513,Elgeyo Marakwet,Baringo North Sub County,LM 5,Lower Midland,(vs^vs/s) i,Livestock - Millet Zone,175.701660791,2003.07559204102,184.987687733421
1514,Elgeyo Marakwet,Baringo North Sub County,LM 5,Lower Midland,(vs^vs/s) i,Livestock - Millet Zone,175.701660791,104605.761291504,1499.88212334997
1515,Elgeyo Marakwet,Baringo North Sub County,LM 5,Lower Midland,(vs^vs/s) i,Livestock - Millet Zone,175.701660791,166960.996490479,2362.17598652398
